ticker,name,isin,exchange,sector,industry,market_data_ticker,country,universe
ORISSAMINE,The Orissa Minerals Development Company Limited,INE725E01024,NSE,Unclassified,Unclassified,ORISSAMINE.NS,IN,NSE_MAINBOARD
ORKLAINDIA,Orkla India Limited,INE16NZ01023,NSE,Unclassified,Unclassified,ORKLAINDIA.NS,IN,NSE_MAINBOARD
ORTEL,Ortel Communications Limited,INE849L01019,NSE,Unclassified,Unclassified,ORTEL.NS,IN,NSE_MAINBOARD
ORTINGLOBE,ORTIN GLOBAL LIMITED,INE749B01020,NSE,Unclassified,Unclassified,ORTINGLOBE.NS,IN,NSE_MAINBOARD
OSIAHYPER,Osia Hyper Retail Limited,INE06IR01021,NSE,Unclassified,Unclassified,OSIAHYPER.NS,IN,NSE_MAINBOARD
OSWALAGRO,Oswal Agro Mills Limited,INE142A01012,NSE,Unclassified,Unclassified,OSWALAGRO.NS,IN,NSE_MAINBOARD
OSWALGREEN,Oswal Greentech Limited,INE143A01010,NSE,Unclassified,Unclassified,OSWALGREEN.NS,IN,NSE_MAINBOARD
OSWALPUMPS,Oswal Pumps Limited,INE0BYP01024,NSE,Unclassified,Unclassified,OSWALPUMPS.NS,IN,NSE_MAINBOARD
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,INE00IK01029,NSE,Unclassified,Unclassified,OSWALSEEDS.NS,IN,NSE_MAINBOARD
PACEDIGITK,Pace Digitek Limited,INE0S3G01027,NSE,Unclassified,Unclassified,PACEDIGITK.NS,IN,NSE_MAINBOARD
PAGEIND,Page Industries Limited,INE761H01022,NSE,Textiles,Textiles,PAGEIND.NS,IN,NSE_MAINBOARD
PAISALO,Paisalo Digital Limited,INE420C01059,NSE,Unclassified,Unclassified,PAISALO.NS,IN,NSE_MAINBOARD
PAKKA,PAKKA LIMITED,INE551D01018,NSE,Unclassified,Unclassified,PAKKA.NS,IN,NSE_MAINBOARD
PALASHSECU,Palash Securities Limited,INE471W01019,NSE,Unclassified,Unclassified,PALASHSECU.NS,IN,NSE_MAINBOARD
PALREDTEC,Palred Technologies Limited,INE218G01033,NSE,Unclassified,Unclassified,PALREDTEC.NS,IN,NSE_MAINBOARD
